n,generations,population_size,selection_type,mutation_type,p_m,crossover_type,p_c,fitness_val,abs_fitness_val,execution_time,execution_time_brute_force,err,err_percentage,exec_time_rate
5,100,50,elitist,scramble,0.6000000000000001,order,0.8000000000000002,6929.25,6473.75,0.0030,0.0013,455.5,7.036107356632556,0.43059268735686645
5,100,50,elitist,scramble,0.8000000000000002,order,0.8000000000000002,6860.25,6473.75,0.0028,0.0013,386.5,5.970264529832008,0.4575476378283125
5,100,50,elitist,reverse,0.4,pmx,0.4,6965.25,6473.75,0.0022,0.0013,491.5,7.592199266267613,0.5722106412005457
5,100,50,elitist,reverse,0.6000000000000001,pmx,0.4,7251.75,6473.75,0.0022,0.0013,778.0,12.017764047113346,0.5700569994772609
5,100,50,elitist,reverse,0.8000000000000002,pmx,0.4,7217.25,6473.75,0.0019,0.0013,743.5,11.484842633713072,0.6500471149260848
5,100,50,elitist,reverse,0.4,pmx,0.6000000000000001,6857.75,6473.75,0.0025,0.0013,384.0,5.93164703610735,0.5006974471992653
5,100,50,elitist,reverse,0.6000000000000001,pmx,0.6000000000000001,7029.75,6473.75,0.0025,0.0013,556.0,8.588530604363783,0.5132820483855784
5,100,50,elitist,reverse,0.8000000000000002,pmx,0.6000000000000001,7119.75,6473.75,0.0025,0.0013,646.0,9.97876037845144,0.5112127507969247
5,100,50,elitist,reverse,0.4,pmx,0.8000000000000002,6801.75,6473.75,0.0032,0.0013,328.0,5.066615176675029,0.40024922557439624
5,100,50,elitist,reverse,0.6000000000000001,pmx,0.8000000000000002,6707.75,6473.75,0.0031,0.0013,234.0,3.6145974126279157,0.41385921821631877
5,100,50,elitist,reverse,0.8000000000000002,pmx,0.8000000000000002,7029.75,6473.75,0.0029,0.0013,556.0,8.588530604363783,0.4437333333333333
5,100,50,elitist,reverse,0.4,order,0.4,7349.25,6473.75,0.0025,0.0013,875.5,13.523846302374977,0.5167846839162165
5,100,50,elitist,reverse,0.6000000000000001,order,0.4,7251.75,6473.75,0.0022,0.0013,778.0,12.017764047113346,0.5740178124013053
5,100,50,elitist,reverse,0.8000000000000002,order,0.4,7253.75,6473.75,0.0019,0.0013,780.0,12.048658042093066,0.6582874803815043
5,100,50,elitist,reverse,0.4,order,0.6000000000000001,7109.75,6473.75,0.0026,0.0013,636.0,9.824290403552808,0.4910478386167147
5,100,50,elitist,reverse,0.6000000000000001,order,0.6000000000000001,7109.75,6473.75,0.0025,0.0013,636.0,9.824290403552808,0.5069352175529936
5,100,50,elitist,reverse,0.8000000000000002,order,0.6000000000000001,7089.75,6473.75,0.0024,0.0013,616.0,9.515350453755545,0.5360923409694228
5,100,50,elitist,reverse,0.4,order,0.8000000000000002,6707.75,6473.75,0.0030,0.0013,234.0,3.6145974126279157,0.4259507225997969
5,100,50,elitist,reverse,0.6000000000000001,order,0.8000000000000002,6801.75,6473.75,0.0029,0.0013,328.0,5.066615176675029,0.4425807792207792
5,100,50,elitist,reverse,0.8000000000000002,order,0.8000000000000002,7244.25,6473.75,0.0029,0.0013,770.5,11.901911565939372,0.44730067268252666
5,100,100,elitist,swap,0.4,pmx,0.4,7253.75,6473.75,0.0044,0.0013,780.0,12.048658042093066,0.29004708761104314
5,100,100,elitist,swap,0.6000000000000001,pmx,0.4,7168.25,6473.75,0.0042,0.0013,694.5,10.727939756709787,0.3050061643452481
5,100,100,elitist,swap,0.8000000000000002,pmx,0.4,7323.75,6473.75,0.0040,0.0013,850.0,13.129947866383475,0.3203451736090711
5,100,100,elitist,swap,0.4,pmx,0.6000000000000001,6965.25,6473.75,0.0055,0.0013,491.5,7.592199266267613,0.23612485709336567
