n,generations,population_size,mutation_type,p_m,crossover_type,p_c,fitness_val,abs_fitness_val,execution_time,execution_time_brute_force,err,err_percentage,exec_time_rate
5,500,75,scramble,0.5,order,0.8,7628.25,6473.75,0.2010,0.0013,1154.5,17.833558602046722,0.006466550284629981
5,500,75,reverse,0.2,pmx,0.4,6473.75,6473.75,0.0865,0.0013,0.0,0.0,0.015027919885566558
5,500,75,reverse,0.4,pmx,0.4,6473.75,6473.75,0.1053,0.0013,0.0,0.0,0.01233973381491967
5,500,75,reverse,0.5,pmx,0.4,6473.75,6473.75,0.1146,0.0013,0.0,0.0,0.011341757322871989
5,500,75,reverse,0.2,pmx,0.6,6473.75,6473.75,0.1218,0.0013,0.0,0.0,0.010669960451877899
5,500,75,reverse,0.4,pmx,0.6,7184.25,6473.75,0.1439,0.0013,710.5,10.975091716547595,0.009031078957001054
5,500,75,reverse,0.5,pmx,0.6,6496.25,6473.75,0.1510,0.0013,22.5,0.3475574435219215,0.00860797903494439
5,500,75,reverse,0.2,pmx,0.8,6496.25,6473.75,0.1548,0.0013,22.5,0.3475574435219215,0.008395699136655421
5,500,75,reverse,0.4,pmx,0.8,6707.75,6473.75,0.1819,0.0013,234.0,3.6145974126279157,0.007145949388820667
5,500,75,reverse,0.5,pmx,0.8,7349.25,6473.75,0.1910,0.0013,875.5,13.523846302374977,0.006803115716451337
5,500,75,reverse,0.2,order,0.4,6880.25,6473.75,0.0868,0.0013,406.5,6.279204479629271,0.014972952221944568
5,500,75,reverse,0.4,order,0.4,7253.75,6473.75,0.1020,0.0013,780.0,12.048658042093066,0.012735304614292254
5,500,75,reverse,0.5,order,0.4,7217.25,6473.75,0.1102,0.0013,743.5,11.484842633713072,0.011794036139626837
5,500,75,reverse,0.2,order,0.6,6633.75,6473.75,0.1190,0.0013,160.0,2.471519598378066,0.010921441504959379
5,500,75,reverse,0.4,order,0.6,7349.25,6473.75,0.1418,0.0013,875.5,13.523846302374977,0.009165442723916974
5,500,75,reverse,0.5,order,0.6,6656.25,6473.75,0.1521,0.0013,182.5,2.8190770418999875,0.008543173727751315
5,500,75,reverse,0.2,order,0.8,6633.75,6473.75,0.1551,0.0013,160.0,2.471519598378066,0.008377639736283726
5,500,75,reverse,0.4,order,0.8,6473.75,6473.75,0.1842,0.0013,0.0,0.0,0.0070541842452186984
5,500,75,reverse,0.5,order,0.8,7253.75,6473.75,0.1944,0.0013,780.0,12.048658042093066,0.006686149703374346
5,500,100,swap,0.2,pmx,0.4,7941.75,6473.75,0.1155,0.0013,1468.0,22.676192315118755,0.011252719385501838
5,500,100,swap,0.4,pmx,0.4,6671.75,6473.75,0.1339,0.0013,198.0,3.0585055029928583,0.009702005846902262
5,500,100,swap,0.5,pmx,0.4,6656.25,6473.75,0.1464,0.0013,182.5,2.8190770418999875,0.008877122901844586
5,500,100,swap,0.2,pmx,0.6,6473.75,6473.75,0.1591,0.0013,0.0,0.0,0.008170542505559318
5,500,100,swap,0.4,pmx,0.6,6633.75,6473.75,0.1926,0.0013,160.0,2.471519598378066,0.006748328201269319
5,500,100,swap,0.5,pmx,0.6,6473.75,6473.75,0.2216,0.0013,0.0,0.0,0.005864537938407562
5,500,100,swap,0.2,pmx,0.8,6473.75,6473.75,0.2055,0.0013,0.0,0.0,0.006323301117241987
5,500,100,swap,0.4,pmx,0.8,6581.75,6473.75,0.2381,0.0013,108.0,1.6682757289052006,0.00545776916516858
5,500,100,swap,0.5,pmx,0.8,6473.75,6473.75,0.2519,0.0013,0.0,0.0,0.005158947886311168
5,500,100,swap,0.2,order,0.4,6633.75,6473.75,0.1191,0.0013,160.0,2.471519598378066,0.010914074456607678
5,500,100,swap,0.4,order,0.4,7557.75,6473.75,0.1390,0.0013,1084.0,16.74454527901139,0.00935000420121235
5,500,100,swap,0.5,order,0.4,6640.25,6473.75,0.1491,0.0013,166.5,2.5719250820621795,0.008714587189101243
5,500,100,swap,0.2,order,0.6,6965.25,6473.75,0.1614,0.0013,491.5,7.592199266267613,0.00805376943801106
5,500,100,swap,0.4,order,0.6,6860.25,6473.75,0.1889,0.0013,386.5,5.970264529832008,0.0068791699469105145
5,500,100,swap,0.5,order,0.6,6860.25,6473.75,0.1991,0.0013,386.5,5.970264529832008,0.006528224665183649
5,500,100,swap,0.2,order,0.8,7727.75,6473.75,0.2082,0.0013,1254.0,19.37053485228809,0.006241995388845769
5,500,100,swap,0.4,order,0.8,6801.75,6473.75,0.2487,0.0013,328.0,5.066615176675029,0.005226722391836774
5,500,100,swap,0.5,order,0.8,7168.25,6473.75,0.2871,0.0013,694.5,10.727939756709787,0.004527154314939971
5,500,100,insert,0.2,pmx,0.4,6473.75,6473.75,0.1247,0.0013,0.0,0.0,0.010421606992341376
5,500,100,insert,0.4,pmx,0.4,6473.75,6473.75,0.1438,0.0013,0.0,0.0,0.009037126070058257
5,500,100,insert,0.5,pmx,0.4,6473.75,6473.75,0.1472,0.0013,0.0,0.0,0.008826054413840436
5,500,100,insert,0.2,pmx,0.6,6473.75,6473.75,0.1619,0.0013,0.0,0.0,0.008025521079411898
5,500,100,insert,0.4,pmx,0.6,6965.25,6473.75,0.1989,0.0013,491.5,7.592199266267613,0.0065338179238579345
5,500,100,insert,0.5,pmx,0.6,6496.25,6473.75,0.2018,0.0013,22.5,0.3475574435219215,0.006438952591714355
5,500,100,insert,0.2,pmx,0.8,6473.75,6473.75,0.2082,0.0013,0.0,0.0,0.0062418739146312
5,500,100,insert,0.4,pmx,0.8,6707.75,6473.75,0.2341,0.0013,234.0,3.6145974126279157,0.0055531120817925265
5,500,100,insert,0.5,pmx,0.8,6473.75,6473.75,0.2499,0.0013,0.0,0.0,0.0052013988442173665
5,500,100,insert,0.2,order,0.4,6473.75,6473.75,0.1128,0.0013,0.0,0.0,0.01151680166945825
5,500,100,insert,0.4,order,0.4,6801.75,6473.75,0.1323,0.0013,328.0,5.066615176675029,0.009825947617485826
5,500,100,insert,0.5,order,0.4,7109.75,6473.75,0.1433,0.0013,636.0,9.824290403552808,0.009069202838889526
5,500,100,insert,0.2,order,0.6,6633.75,6473.75,0.1585,0.0013,160.0,2.471519598378066,0.00819714784825807
5,500,100,insert,0.4,order,0.6,7941.75,6473.75,0.1998,0.0013,1468.0,22.676192315118755,0.006505264011873316
5,500,100,insert,0.5,order,0.6,7869.75,6473.75,0.1974,0.0013,1396.0,21.564008495848626,0.006584027386177708
5,500,100,insert,0.2,order,0.8,6473.75,6473.75,0.2041,0.0013,0.0,0.0,0.006368552223552428
5,500,100,insert,0.4,order,0.8,6633.75,6473.75,0.2345,0.0013,160.0,2.471519598378066,0.005542404319594713
5,500,100,insert,0.5,order,0.8,7869.75,6473.75,0.2505,0.0013,1396.0,21.564008495848626,0.005188140133000562
5,500,100,scramble,0.2,pmx,0.4,6473.75,6473.75,0.1160,0.0013,0.0,0.0,0.011201124098687319
5,500,100,scramble,0.4,pmx,0.4,7089.75,6473.75,0.1408,0.0013,616.0,9.515350453755545,0.009226689499609956
5,500,100,scramble,0.5,pmx,0.4,6581.75,6473.75,0.1550,0.0013,108.0,1.6682757289052006,0.00838409348812178
5,500,100,scramble,0.2,pmx,0.6,7721.75,6473.75,0.1641,0.0013,1248.0,19.277852867348912,0.007917699761420384
5,500,100,scramble,0.4,pmx,0.6,6496.25,6473.75,0.1940,0.0013,22.5,0.3475574435219215,0.006698536360040196
5,500,100,scramble,0.5,pmx,0.6,6707.75,6473.75,0.2090,0.0013,234.0,3.6145974126279157,0.0062184892043666085
5,500,100,scramble,0.2,pmx,0.8,6473.75,6473.75,0.2162,0.0013,0.0,0.0,0.006010906200633435
5,500,100,scramble,0.4,pmx,0.8,6473.75,6473.75,0.2454,0.0013,0.0,0.0,0.005296563729104316
5,500,100,scramble,0.5,pmx,0.8,6473.75,6473.75,0.2648,0.0013,0.0,0.0,0.004908228486761742
5,500,100,scramble,0.2,order,0.4,7473.75,6473.75,0.1179,0.0013,1000.0,15.446997489862909,0.01101759187228101
5,500,100,scramble,0.4,order,0.4,7244.25,6473.75,0.1435,0.0013,770.5,11.901911565939372,0.00905306088564868
